concept_index,entity_id,raw_concept_id,name,definition_source
31,kc31,find_uniform_pressure_under_weight,find_uniform_pressure_under_weight,llm:deepseek-chat
32,kc32,force_at_joint_implied_by_previous_analysis,force_at_joint_implied_by_previous_analysis,llm:deepseek-chat
33,kc33,force_at_joint_implied_by_previous_analysis~~sense_if_assuming_tension,force_at_joint_implied_by_previous_analysis; sense_if_assuming_tension,llm:deepseek-chat
34,kc34,gravitational_forces,gravitational_forces,llm:deepseek-chat
35,kc35,identify_centroid,identify_centroid,llm:deepseek-chat
36,kc36,identify_enabling_unknown,identify_enabling_unknown,llm:deepseek-chat
37,kc37,identify_enabling_unknown~~determine_subsystem_is_solvable,identify_enabling_unknown; determine_subsystem_is_solvable,llm:deepseek-chat
38,kc38,identify_equation_isolates_specific_unknown,identify_equation_isolates_specific_unknown,llm:deepseek-chat
39,kc39,identify_equation_isolates_specific_unknown~~anticipate_solved_variables,identify_equation_isolates_specific_unknown; anticipate_solved_variables,llm:deepseek-chat
40,kc40,identify_forces_in_symmetry_plane,identify_forces_in_symmetry_plane,llm:deepseek-chat
41,kc41,identify_interaction,identify_interaction,llm:deepseek-chat
42,kc42,identify_interaction~~Newtons_third_law,identify_interaction; Newtons_third_law,llm:deepseek-chat
43,kc43,identify_interaction~~body_draw_force_on,identify_interaction; body_draw_force_on,llm:deepseek-chat
44,kc44,identify_interaction~~represent_interaction_contacting_body~~represent_interaction_cord,identify_interaction; represent_interaction_contacting_body; represent_interaction_cord,llm:deepseek-chat
45,kc45,identify_interaction~~represent_interaction_cord,identify_interaction; represent_interaction_cord,llm:deepseek-chat
46,kc46,identify_interaction~~represent_interaction_pin_connection~~represent_forces_two-force_member,identify_interaction; represent_interaction_pin_connection; represent_forces_two-force_member,llm:deepseek-chat
47,kc47,identify_two-force_member,identify_two-force_member,llm:deepseek-chat
48,kc48,impose_solve_concurrent_equilibrium,impose_solve_concurrent_equilibrium,llm:deepseek-chat
49,kc49,interpret_equation,interpret_equation,llm:deepseek-chat
50,kc50,is_net_moment_sense_obvious,is_net_moment_sense_obvious,llm:deepseek-chat
51,kc51,judge_equilibrium_qualitatively,judge_equilibrium_qualitatively,llm:deepseek-chat
52,kc52,judge_force_sense_based_on_sign,judge_force_sense_based_on_sign,llm:deepseek-chat
53,kc53,judge_force_sense_based_on_sign~~relate_direction_normal_force_and_contact,judge_force_sense_based_on_sign; relate_direction_normal_force_and_contact,llm:deepseek-chat
54,kc54,mass_moment_of_inertia_parallel_axis_theorem,mass_moment_of_inertia_parallel_axis_theorem,llm:deepseek-chat
55,kc55,moment_about_point_due_to_couple,moment_about_point_due_to_couple,llm:deepseek-chat
56,kc56,moment_sign_sense_relation,moment_sign_sense_relation,llm:deepseek-chat
57,kc57,moment_sign_sense_relation~~rotation_sense_of_force,moment_sign_sense_relation; rotation_sense_of_force,llm:deepseek-chat
58,kc58,motion_dependence_on_force,motion_dependence_on_force,llm:deepseek-chat
59,kc59,motion_dependence_on_force~~couple_represents_net_zero_force,motion_dependence_on_force; couple_represents_net_zero_force,llm:deepseek-chat
60,kc60,moving_force_perpendicular_to_line_of_action,moving_force_perpendicular_to_line_of_action,llm:deepseek-chat
61,kc61,moving_force_to_general_point,moving_force_to_general_point,llm:deepseek-chat
62,kc62,polar_moment_of_area,polar_moment_of_area,llm:deepseek-chat
63,kc63,possible_interaction_for_nonuniform_contact,possible_interaction_for_nonuniform_contact,llm:deepseek-chat
64,kc64,recognize_conditions_for_full_equivalence,recognize_conditions_for_full_equivalence,llm:deepseek-chat
65,kc65,recognize_conditions_for_full_equivalence~~recognize_equivalence_from_motion,recognize_conditions_for_full_equivalence; recognize_equivalence_from_motion,llm:deepseek-chat
66,kc66,recognize_equivalence_from_motion,recognize_equivalence_from_motion,llm:deepseek-chat
67,kc67,recognize_equivalence_of_translated_forces,recognize_equivalence_of_translated_forces,llm:deepseek-chat
68,kc68,recognize_forces_collinear,recognize_forces_collinear,llm:deepseek-chat
69,kc69,recognize_forces_concurrent,recognize_forces_concurrent,llm:deepseek-chat
70,kc70,recognize_knowns_vs_unknowns,recognize_knowns_vs_unknowns,llm:deepseek-chat
71,kc71,relate_direction_normal_force_and_contact,relate_direction_normal_force_and_contact,llm:deepseek-chat
72,kc72,relative_magnitudes_mass_moment_of_inertia,relative_magnitudes_mass_moment_of_inertia,llm:deepseek-chat
73,kc73,relative_magnitudes_moment_of_area,relative_magnitudes_moment_of_area,llm:deepseek-chat
74,kc74,replace_forces_in_opposite_sense_with_force_and_couple,replace_forces_in_opposite_sense_with_force_and_couple,llm:deepseek-chat
75,kc75,replace_forces_in_same_sense_with_one_force,replace_forces_in_same_sense_with_one_force,llm:deepseek-chat
76,kc76,replace_general_loads_with_force_and_couple,replace_general_loads_with_force_and_couple,llm:deepseek-chat
77,kc77,replace_general_loads_with_single_force,replace_general_loads_with_single_force,llm:deepseek-chat
78,kc78,represent_forces_two-force_member,represent_forces_two-force_member,llm:deepseek-chat
79,kc79,represent_interaction_contacting_body,represent_interaction_contacting_body,llm:deepseek-chat
80,kc80,represent_interaction_cord,represent_interaction_cord,llm:deepseek-chat
81,kc81,represent_interaction_fixed_connection,represent_interaction_fixed_connection,llm:deepseek-chat
82,kc82,represent_interaction_pin_connection,represent_interaction_pin_connection,llm:deepseek-chat
83,kc83,represent_interaction_pin_in_slot_connection,represent_interaction_pin_in_slot_connection,llm:deepseek-chat
84,kc84,represent_interaction_rigid_sliding_connection,represent_interaction_rigid_sliding_connection,llm:deepseek-chat
85,kc85,represent_interaction_roller_connection,represent_interaction_roller_connection,llm:deepseek-chat
86,kc86,represent_interaction_spring,represent_interaction_spring,llm:deepseek-chat
87,kc87,resolve_into_components,resolve_into_components,llm:deepseek-chat
88,kc88,rotation_sense_of_force,rotation_sense_of_force,llm:deepseek-chat
89,kc89,rotation_sense_of_force~~motion_dependence_on_force,rotation_sense_of_force; motion_dependence_on_force,llm:deepseek-chat
90,kc90,second_moment_of_area_parallel_axis_theorem,second_moment_of_area_parallel_axis_theorem,llm:deepseek-chat
91,kc91,second_moment_of_area_tabulated_shape,second_moment_of_area_tabulated_shape,llm:deepseek-chat
92,kc92,sense_if_assuming_tension~~identify_external_load_points_on_section~~identify_internal_load_points_on_section,sense_if_assuming_tension; identify_external_load_points_on_section; identify_internal_load_points_on_section,llm:deepseek-chat
93,kc93,simple_step,simple_step,llm:deepseek-chat
94,kc94,statics_problem_collinear,statics_problem_collinear,llm:deepseek-chat
95,kc95,statics_problem_force_and_moment,statics_problem_force_and_moment,llm:deepseek-chat
96,kc96,statics_problem_force_and_moment~~interpret_equation~~possible_interaction_for_nonuniform_contact,statics_problem_force_and_moment; interpret_equation; possible_interaction_for_nonuniform_contact,llm:deepseek-chat
